c,CATEGORY,CLASS TYPE,PRODUCT,UNIT,QUANTITY,RUPEES,DOLLARS,% QUANTITY,% RUPEES,% DOLLARS,STATUS,Year,Quarter,Month,Day
91,MACHINERY GROUP,, OTHER MACHINERY,,,37717,229842,,-10.68,-13.13,Import,2021,Qtr 3,August,1
95,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)","CBU-BUSES,TRUCKS & OTH  HEAVY VEHICLES",,,2776,16917,,-33.3,-35.13,Import,2021,Qtr 3,August,1
96,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)",CBU-MOTOR CARS,,,4072,24814,,-27.14,-29.14,Import,2021,Qtr 3,August,1
97,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)",CBU-MOTOR CYCLES,,,65,396,,-2.99,-6.38,Import,2021,Qtr 3,August,1
99,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)","CKD/SKD-BUSES,TRUCKS & OTH  HEAVY VEHICLES",,,11109,67697,,106.83,101.16,Import,2021,Qtr 3,August,1
100,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)",CKD/SKD-MOTOR CARS,,,24531,149488,,44.02,40.07,Import,2021,Qtr 3,August,1
101,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)",CKD/SKD-MOTOR CYCLES,,,972,5923,,-1.82,-4.53,Import,2021,Qtr 3,August,1
102,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)",PARTS & ACCESSORIES,,,6682,40719,,4.23,1.37,Import,2021,Qtr 3,August,1
103,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)",OTHERS,,,1550,9445,,-4.26,-6.9,Import,2021,Qtr 3,August,1
104,TRANSPORT GROUP,,"AIRCRAFTS, SHIPS AND BOATS",,,6514,39695,,-22.75,-24.86,Import,2021,Qtr 3,August,1
105,TRANSPORT GROUP,,OTHERS TRANSPORT EQUIPMENTS,,,89,542,,-39.04,-40.83,Import,2021,Qtr 3,August,1
107,PETROLEUM GROUP,, PETROLEUM PRODUCTS,MT,1743510,146370,891958,34.44,41.64,37.76,Import,2021,Qtr 3,August,1
108,PETROLEUM GROUP,, PETROLEUM CRUDE,MT,846239,72609,442469,12.78,20.86,17.55,Import,2021,Qtr 3,August,1
109,PETROLEUM GROUP,,"NATURAL GAS, LIQUIFIED",,,62316,379745,,43.72,39.78,Import,2021,Qtr 3,August,1
110,PETROLEUM GROUP,," PETROLEUM GAS, LIQUIFIED",,,6994,42620,,26.15,22.7,Import,2021,Qtr 3,August,1
111,PETROLEUM GROUP,, OTHERS,,,7,43,,100,100,Import,2021,Qtr 3,August,1
113,TEXTILE GROUP,, RAW COTTON,MT,53238,17885,108989,8.27,14.16,11.04,Import,2021,Qtr 3,August,1
114,TEXTILE GROUP,, SYNTHETIC FIBRE,MT,37781,11488,70006,-29.17,-22.05,-24.19,Import,2021,Qtr 3,August,1
115,TEXTILE GROUP,, SYNTHETIC & ARTIFICIAL SILK YARN,MT,32556,11114,67727,-28.45,-19.53,-21.73,Import,2021,Qtr 3,August,1
116,TEXTILE GROUP,, WORN CLOTHING,MT,94820,6517,39714,3.65,4.84,1.97,Import,2021,Qtr 3,August,1
117,TEXTILE GROUP,, OTHR TEXTILE ITEMS,,,14173,86368,,4.31,1.44,Import,2021,Qtr 3,August,1
119,"AGRICULTURAL & OTHER
 CHEMICALS GROUP",, FERTILIZER MANUFACTURED,MT,175682,15378,93711,10.21,10.86,7.83,Import,2021,Qtr 3,August,1
120,"AGRICULTURAL & OTHER
 CHEMICALS GROUP",, INSECTICIDES,MT,2654,2093,12754,6.8,6.14,3.21,Import,2021,Qtr 3,August,1
121,"AGRICULTURAL & OTHER
 CHEMICALS GROUP",, PLASTIC MATERIALS,MT,184527,43624,265838,25.08,15.76,12.59,Import,2021,Qtr 3,August,1
122,"AGRICULTURAL & OTHER
 CHEMICALS GROUP",, MEDICINAL PRODUCTS,MT,3254,74712,455284,96.85,99.97,94.49,Import,2021,Qtr 3,August,1
123,"AGRICULTURAL & OTHER
 CHEMICALS GROUP",, OTHERS,,,64537,393279,,-4.55,-7.16,Import,2021,Qtr 3,August,1
125,METAL GROUP,, GOLD,KG,35,367,2236,169.23,203.31,195.38,Import,2021,Qtr 3,August,1
126,METAL GROUP,, IRON AND STEEL SCRAP,MT,302158,28731,175083,23.87,34.86,31.16,Import,2021,Qtr 3,August,1
127,METAL GROUP,, IRON AND STEEL,MT,244433,38773,236277,-20.31,3.44,0.61,Import,2021,Qtr 3,August,1
128,METAL GROUP,, ALUMINIUM WROUGHT & WORKED,,,2788,16990,,0.25,-2.51,Import,2021,Qtr 3,August,1
129,METAL GROUP,, ALL OTHER METALS & ARTICALS,,,13220,80561,,-25.27,-27.32,Import,2021,Qtr 3,August,1
131,MISCELLANEOUS GROUP,, RUBBER CRUDE INCL  SYNTH/RECLAIMED,MT,26690,2837,17288,25.21,6.14,3.21,Import,2021,Qtr 3,August,1
132,MISCELLANEOUS GROUP,, RUBBER TYRES & TUBES,NO,495590,3560,21694,10.3,5.14,2.26,Import,2021,Qtr 3,August,1
133,MISCELLANEOUS GROUP,, WOOD & CORK,,0,1626,9909,,7.04,4.09,Import,2021,Qtr 3,August,1
134,MISCELLANEOUS GROUP,, JUTE,MT,4195,742,4522,263.2,235.75,226.73,Import,2021,Qtr 3,August,1
135,MISCELLANEOUS GROUP,, PAPER & PAPER BOARD & MANUF THEREOF,MT,41247,6461,39372,8.84,0.91,-1.86,Import,2021,Qtr 3,August,1
136,MISCELLANEOUS GROUP,,ALL OTHERS ITEMS,,,77560,472638,,14.93,11.78,Import,2021,Qtr 3,August,1
139,FOOD GROUP,," MILK,CREAM & MILK FOOD FOR INFANTS",MT,4336,2549,14386,-6.51,-11.93,-13.99,Import,2021,Qtr 4,December,1
140,FOOD GROUP,, WHEAT UNMILLED,MT,337425,23101,130385,15.53,26.87,23.9,Import,2021,Qtr 4,December,1
141,FOOD GROUP,, DRY FRUITS & NUTS,MT,11245,1651,9320,-6.17,15.23,12.53,Import,2021,Qtr 4,December,1
142,FOOD GROUP,, TEA,MT,22652,10128,57161,7.17,6.16,3.67,Import,2021,Qtr 4,December,1
143,FOOD GROUP,, SPICES,MT,9785,2784,15714,8.19,-2.79,-5.07,Import,2021,Qtr 4,December,1
144,FOOD GROUP,, SOYABEAN OIL,MT,2500,573,3233,-82.39,-82.68,-83.08,Import,2021,Qtr 4,December,1
145,FOOD GROUP,, PALM OIL,MT,250501,56104,316657,-22.51,-16.86,-18.8,Import,2021,Qtr 4,December,1
146,FOOD GROUP,, SUGAR,MT,945,129,729,-98.42,-98.05,-98.1,Import,2021,Qtr 4,December,1
147,FOOD GROUP,, PULSES (LEGUMINOUS VEGETABLES),MT,43087,4873,27505,-34.55,-32.19,-33.78,Import,2021,Qtr 4,December,1
148,FOOD GROUP,, ALL OTHERS FOOD ITEMS,,,36904,208290,,8.12,5.59,Import,2021,Qtr 4,December,1
150,MACHINERY GROUP,, POWER GENERATING MACHINERY,,,24428,137874,,-13.41,-15.44,Import,2021,Qtr 4,December,1
151,MACHINERY GROUP,, OFFICE MACHINE INCL DATA PROC EQUIP;,,,10679,60276,,7.69,5.17,Import,2021,Qtr 4,December,1
152,MACHINERY GROUP,, TEXTILE MACHINERY,,,12945,73062,,17.64,14.89,Import,2021,Qtr 4,December,1
153,MACHINERY GROUP,, CONSTRUCTION & MINING MACHINERY,,,4728,26685,,51.05,47.51,Import,2021,Qtr 4,December,1
154,MACHINERY GROUP,, ELECTRICAL MACHINERY & APPARATUS,,,40654,229455,,27.31,24.33,Import,2021,Qtr 4,December,1
156,MACHINERY GROUP, TELE COM, MOBILE PHONE,,,41440,233891,,12.94,10.3,Import,2021,Qtr 4,December,1
157,MACHINERY GROUP, TELE COM, OTHER APPARATUS,,,10510,59321,,-15.02,-17.01,Import,2021,Qtr 4,December,1
158,MACHINERY GROUP,, AGRICULTURAL MACHINERY & IMPLEMENTS,,,1789,10097,,-12.82,-14.88,Import,2021,Qtr 4,December,1
159,MACHINERY GROUP,, OTHER MACHINERY,,,52877,298443,,7.03,4.52,Import,2021,Qtr 4,December,1
163,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)","CBU-BUSES,TRUCKS & OTH  HEAVY VEHICLES",,,3664,20682,,-35.9,-37.41,Import,2021,Qtr 4,December,1
164,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)",CBU-MOTOR CARS,,,3803,21466,,-18.49,-20.4,Import,2021,Qtr 4,December,1
165,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)",CBU-MOTOR CYCLES,,,53,302,,-53.11,-54.31,Import,2021,Qtr 4,December,1
167,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)","CKD/SKD-BUSES,TRUCKS & OTH  HEAVY VEHICLES",,,11639,65689,,-17.66,-19.59,Import,2021,Qtr 4,December,1
168,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)",CKD/SKD-MOTOR CARS,,,25873,146031,,3.09,0.67,Import,2021,Qtr 4,December,1
169,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)",CKD/SKD-MOTOR CYCLES,,,1492,8419,,45.53,42.09,Import,2021,Qtr 4,December,1
170,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)",PARTS & ACCESSORIES,,,9263,52282,,-21.51,-23.35,Import,2021,Qtr 4,December,1
171,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)",OTHERS,,,1861,10502,,-21.66,-23.5,Import,2021,Qtr 4,December,1
172,TRANSPORT GROUP,,"AIRCRAFTS, SHIPS AND BOATS",,,13127,74090,,28.11,25.1,Import,2021,Qtr 4,December,1
173,TRANSPORT GROUP,,OTHERS TRANSPORT EQUIPMENTS,,,378,2132,,19.18,16.31,Import,2021,Qtr 4,December,1
175,PETROLEUM GROUP,, PETROLEUM PRODUCTS,MT,1562334,159573,900646,-24.57,-26.87,-28.59,Import,2021,Qtr 4,December,1
176,PETROLEUM GROUP,, PETROLEUM CRUDE,MT,667639,62773,354299,-13.82,-16.81,-18.76,Import,2021,Qtr 4,December,1
177,PETROLEUM GROUP,,"NATURAL GAS, LIQUIFIED",,,85128,480473,,17.63,14.87,Import,2021,Qtr 4,December,1
178,PETROLEUM GROUP,," PETROLEUM GAS, LIQUIFIED",,,11778,66474,,1.65,-0.73,Import,2021,Qtr 4,December,1
179,PETROLEUM GROUP,, OTHERS,,,6,34,,-14.29,-12.82,Import,2021,Qtr 4,December,1
181,TEXTILE GROUP,, RAW COTTON,MT,63672,26698,150683,-18.54,-13.39,-15.42,Import,2021,Qtr 4,December,1
182,TEXTILE GROUP,, SYNTHETIC FIBRE,MT,20660,7698,43450,-22.08,-14.87,-16.87,Import,2021,Qtr 4,December,1
183,TEXTILE GROUP,, SYNTHETIC & ARTIFICIAL SILK YARN,MT,34346,14790,83477,5.9,25.83,22.88,Import,2021,Qtr 4,December,1
184,TEXTILE GROUP,, WORN CLOTHING,MT,76497,5628,31762,-10.7,-11.86,-13.93,Import,2021,Qtr 4,December,1
185,TEXTILE GROUP,, OTHR TEXTILE ITEMS,,,14625,82546,,-9.58,-11.69,Import,2021,Qtr 4,December,1
187,"AGRICULTURAL & OTHER
 CHEMICALS GROUP",, FERTILIZER MANUFACTURED,MT,29491,2619,14785,-46.89,-38.26,-39.71,Import,2021,Qtr 4,December,1
188,"AGRICULTURAL & OTHER
 CHEMICALS GROUP",, INSECTICIDES,MT,2573,2413,13620,-32.42,-40.88,-42.26,Import,2021,Qtr 4,December,1
189,"AGRICULTURAL & OTHER
 CHEMICALS GROUP",, PLASTIC MATERIALS,MT,156557,46668,263400,-13.75,-9.38,-11.51,Import,2021,Qtr 4,December,1
190,"AGRICULTURAL & OTHER
 CHEMICALS GROUP",, MEDICINAL PRODUCTS,MT,7281,172866,975673,81.75,45.03,41.63,Import,2021,Qtr 4,December,1
191,"AGRICULTURAL & OTHER
 CHEMICALS GROUP",, OTHERS,,,98686,556993,,8.14,5.61,Import,2021,Qtr 4,December,1
193,METAL GROUP,, GOLD,KG,20,207,1166,-63.64,-62.77,-63.66,Import,2021,Qtr 4,December,1
194,METAL GROUP,, IRON AND STEEL SCRAP,MT,411229,44627,251880,-11.45,-6.25,-8.45,Import,2021,Qtr 4,December,1
195,METAL GROUP,, IRON AND STEEL,MT,282738,49500,279382,-21.67,3.15,0.73,Import,2021,Qtr 4,December,1
196,METAL GROUP,, ALUMINIUM WROUGHT & WORKED,,,3069,17323,,7.88,5.36,Import,2021,Qtr 4,December,1
197,METAL GROUP,, ALL OTHER METALS & ARTICALS,,,14454,81580,,-8.53,-10.67,Import,2021,Qtr 4,December,1
199,MISCELLANEOUS GROUP,, RUBBER CRUDE INCL  SYNTH/RECLAIMED,MT,36111,4619,26072,-11.46,-12.06,-14.13,Import,2021,Qtr 4,December,1
200,MISCELLANEOUS GROUP,, RUBBER TYRES & TUBES,NO,584442,5024,28354,0.33,22.32,19.44,Import,2021,Qtr 4,December,1
201,MISCELLANEOUS GROUP,, WOOD & CORK,,,2178,12293,,0.37,-1.97,Import,2021,Qtr 4,December,1
202,MISCELLANEOUS GROUP,, JUTE,MT,12295,2116,11943,59.28,67.14,63.22,Import,2021,Qtr 4,December,1
203,MISCELLANEOUS GROUP,, PAPER & PAPER BOARD & MANUF THEREOF,MT,37876,7357,41523,-10.94,-5.58,-7.79,Import,2021,Qtr 4,December,1
204,MISCELLANEOUS GROUP,,ALL OTHERS ITEMS,,,103147,582175,,8.19,5.66,Import,2021,Qtr 4,December,1
207,FOOD GROUP,," MILK,CREAM & MILK FOOD FOR INFANTS",MT,6195,2817,17702,24.4,10.25,10.96,Import,2021,Qtr 1,February,1
208,FOOD GROUP,, WHEAT UNMILLED,MT,418699,19304,121309,-0.71,-9.68,-9.1,Import,2021,Qtr 1,February,1
209,FOOD GROUP,, DRY FRUITS & NUTS,MT,3350,809,5084,-53.47,-52.88,-52.58,Import,2021,Qtr 1,February,1
210,FOOD GROUP,, TEA,MT,19108,6870,43172,-14.71,-14.61,-14.06,Import,2021,Qtr 1,February,1
211,FOOD GROUP,, SPICES,MT,15000,2969,18658,-25.16,-18.61,-18.09,Import,2021,Qtr 1,February,1
212,FOOD GROUP,, SOYABEAN OIL,MT,0,0,0,-100,-100,-100,Import,2021,Qtr 1,February,1
213,FOOD GROUP,, PALM OIL,MT,235764,34619,217550,-21.86,-15.55,-15.01,Import,2021,Qtr 1,February,1
