#,CATEGORY,CLASS TYPE,PRODUCT,UNIT,QUANTITY,RUPEES,DOLLARS,% QUANTITY,% RUPEES,% DOLLARS,STATUS,Year,Quarter,Month,Day
790,OTHER MANUFACTURES GROUP,FOOTWEAR,OTHER FOOTWEAR,TH.Pairs,751,410,2390,-13.78,2.57,0.42,Export,2021,Qtr 4,October,1
791,OTHER MANUFACTURES GROUP,,SURGICAL GOODS & MEDICAL INSTRUMENTS,,,6318,36796,,27.48,24.78,Export,2021,Qtr 4,October,1
792,OTHER MANUFACTURES GROUP,,CUTLERY,,,1830,10656,,20.13,17.62,Export,2021,Qtr 4,October,1
793,OTHER MANUFACTURES GROUP,,ONYX MANUFACTURED,M.T,287,99,579,43.61,50.67,46.58,Export,2021,Qtr 4,October,1
795,OTHER MANUFACTURES GROUP,CHEMICALS AND PHARM PRODUCTS,FERTILIZER MANUFACTURED,M.T,0,0,0,0,0,0,Export,2021,Qtr 4,October,1
796,OTHER MANUFACTURES GROUP,CHEMICALS AND PHARM PRODUCTS,PLASTIC MATERIALS,M.T,17263,4654,27105,1.19,2.64,0.47,Export,2021,Qtr 4,October,1
797,OTHER MANUFACTURES GROUP,CHEMICALS AND PHARM PRODUCTS,PHARMACEUTICAL PRODUCTS,M.T,1242,2740,15957,-55.74,-38.47,-39.78,Export,2021,Qtr 4,October,1
798,OTHER MANUFACTURES GROUP,CHEMICALS AND PHARM PRODUCTS,OTHER CHEMICALS,,26213,4249,24747,,-65.77,-66.49,Export,2021,Qtr 4,October,1
800,OTHER MANUFACTURES GROUP,ENGINEERING GOODS,ELECTRIC FANS,TH.NOS,69,234,1363,11.38,10.41,8.26,Export,2021,Qtr 4,October,1
801,OTHER MANUFACTURES GROUP,ENGINEERING GOODS,TRANSPORT EQUIPMENT,,,82,478,,-20.32,-22.28,Export,2021,Qtr 4,October,1
802,OTHER MANUFACTURES GROUP,ENGINEERING GOODS,OTHER ELECTRICAL MACHINERY,,,571,3328,,107.76,103.17,Export,2021,Qtr 4,October,1
804,OTHER MANUFACTURES GROUP,ENGINEERING GOODS,MACHINERY SPECIALIZED FOR PARTICULAR INDUSTRIES,,,778,4534,,-10.32,-12.23,Export,2021,Qtr 4,October,1
805,OTHER MANUFACTURES GROUP,ENGINEERING GOODS,AUTO PARTS & ACCESSORIES,,,424,2469,,30.05,27.14,Export,2021,Qtr 4,October,1
806,OTHER MANUFACTURES GROUP,ENGINEERING GOODS,OTHER MACHINERY,,,844,4916,,12.25,9.81,Export,2021,Qtr 4,October,1
807,OTHER MANUFACTURES GROUP,,GEMS,K.G,519,109,634,-4.24,-0.18,-2.01,Export,2021,Qtr 4,October,1
808,OTHER MANUFACTURES GROUP,,JEWELLERY,,,241,1403,,730.56,706.32,Export,2021,Qtr 4,October,1
809,OTHER MANUFACTURES GROUP,,FURNITURE,,,122,713,,-17.79,-19.71,Export,2021,Qtr 4,October,1
810,OTHER MANUFACTURES GROUP,,MOLASSES,M.T,22,1,3,-64.08,-41.36,-40,Export,2021,Qtr 4,October,1
811,OTHER MANUFACTURES GROUP,,HANDICRAFTS,,,0,0,,0,0,Export,2021,Qtr 4,October,1
812,OTHER MANUFACTURES GROUP,,CEMENT,M.T,248833,1760,10249,-75.62,-69.04,-69.69,Export,2021,Qtr 4,October,1
813,OTHER MANUFACTURES GROUP,,GUAR AND GUAR PRODUCTS,M.T,1773,525,3060,-13.1,15.96,13.63,Export,2021,Qtr 4,October,1
814,OTHER MANUFACTURES GROUP,,ALL OTHER ITEMS,,,31821,185170,,-8.08,-10.1,Export,2021,Qtr 4,October,1
818,FOOD GROUP,RICE,BASMATI,M.T,53253,8612,51244,15.02,21.86,18.99,Export,2021,Qtr 3,September,1
819,FOOD GROUP,RICE,OTHERS,M.T,200315,15409,91689,-1.65,-3.61,-5.88,Export,2021,Qtr 3,September,1
820,FOOD GROUP,,FISH & FISH PREPARATIONS,M.T,10510,5380,32010,142.94,206,198.71,Export,2021,Qtr 3,September,1
821,FOOD GROUP,,FRUITS,M.T,39415,4515,26867,-18.49,-29.15,-30.82,Export,2021,Qtr 3,September,1
822,FOOD GROUP,,VEGETABLES,M.T,30900,2082,12391,-55.07,-39.1,-40.53,Export,2021,Qtr 3,September,1
823,FOOD GROUP,,LEGUMINOUS VEGETABLES (PULSES),M.T,0,0,0,0,0,0,Export,2021,Qtr 3,September,1
824,FOOD GROUP,,TOBACCO,M.T,1039,455,2705,-36.63,-34.77,-36.34,Export,2021,Qtr 3,September,1
825,FOOD GROUP,,WHEAT,M.T,0,0,0,0,0,0,Export,2021,Qtr 3,September,1
826,FOOD GROUP,,SPICES,M.T,2945,1589,9454,43.05,20.83,17.95,Export,2021,Qtr 3,September,1
827,FOOD GROUP,,"OIL SEEDS, NUTS AND KERNALS",M.T,25700,5560,33083,330.42,361.02,350.29,Export,2021,Qtr 3,September,1
828,FOOD GROUP,,SUGAR,M.T,0,0,0,0,0,0,Export,2021,Qtr 3,September,1
829,FOOD GROUP,,MEAT AND MEAT PREPARATIONS,M.T,6642,4829,28736,9.83,15.48,12.77,Export,2021,Qtr 3,September,1
830,FOOD GROUP,,ALL OTHER FOOD ITEMS,,,11958,71154,,6.55,4.04,Export,2021,Qtr 3,September,1
832,TEXTILE GROUP,,RAW COTTON,M.T,0,0,0,0,0,0,Export,2021,Qtr 3,September,1
833,TEXTILE GROUP,,COTTON YARN,M.T,28912,16004,95228,-12.07,-5.79,-8.01,Export,2021,Qtr 3,September,1
834,TEXTILE GROUP,,COTTON CLOTH,M.T,37623,31839,189457,-18.51,3.11,0.68,Export,2021,Qtr 3,September,1
835,TEXTILE GROUP,,COTTON CARDED OR COMBED,M.T,518,118,703,70.96,87.64,84.03,Export,2021,Qtr 3,September,1
836,TEXTILE GROUP,,YARN OTHER THAN COTTON YARN,M.T,1673,782,4656,-6.72,-2.81,-5.12,Export,2021,Qtr 3,September,1
837,TEXTILE GROUP,,KNITWEAR,TH.DOZ,12547,65215,388053,20.89,9.24,6.66,Export,2021,Qtr 3,September,1
838,TEXTILE GROUP,,BED WEAR,M.T,40464,46241,275150,-13.31,6.43,3.92,Export,2021,Qtr 3,September,1
839,TEXTILE GROUP,,TOWELS,M.T,16384,13561,80693,-16.11,-0.19,-2.54,Export,2021,Qtr 3,September,1
840,TEXTILE GROUP,,"TENTS,CANVAS & TARPULIN",M.T,2514,1500,8926,17.25,62.18,58.35,Export,2021,Qtr 3,September,1
841,TEXTILE GROUP,,READYMADE GARMENTS,,,46424,276240,,-0.31,-2.66,Export,2021,Qtr 3,September,1
842,TEXTILE GROUP,,"ART,SILK & SYNTHETIC TEXTILE",M.T,9428,6511,38744,-1.55,7.7,5.16,Export,2021,Qtr 3,September,1
843,TEXTILE GROUP,,MADEUP ARTICLES(EXCL TOWELS & BEDWEAR,,,10768,64071,,-0.96,-3.29,Export,2021,Qtr 3,September,1
844,TEXTILE GROUP,,OTHER TEXTILE MATERIALS,,,10976,65311,,8.45,5.89,Export,2021,Qtr 3,September,1
846,PETROLEUM GROUP & COAL,,PETROLEUM CRUDE,M.T,45753,4045,24071,100,100,100,Export,2021,Qtr 3,September,1
847,PETROLEUM GROUP & COAL,,PETROLEUM PRODUCTS(EXCL TOP NAPHTA),M.T,2098,531,3161,78.55,83.2,78.69,Export,2021,Qtr 3,September,1
848,PETROLEUM GROUP & COAL,,PETROLEUM TOP NAPHTA,M.T,0,0,0,0,0,0,Export,2021,Qtr 3,September,1
849,PETROLEUM GROUP & COAL,,SOLID FUELS (COAL),M.T,0,0,0,0,0,0,Export,2021,Qtr 3,September,1
851,OTHER MANUFACTURES GROUP,,"CARPETS, RUGS & MATS",TH.SQM,155,1131,6727,-9.31,18.88,16.12,Export,2021,Qtr 3,September,1
853,OTHER MANUFACTURES GROUP,SPORTS GOODS,FOOTBALLS,TH.DOZ,257,2384,14186,17.95,31.71,28.59,Export,2021,Qtr 3,September,1
854,OTHER MANUFACTURES GROUP,SPORTS GOODS,GLOVES,TH.DOZ,298,1002,5965,-8.31,-0.06,-2.42,Export,2021,Qtr 3,September,1
855,OTHER MANUFACTURES GROUP,SPORTS GOODS,OTHERS,,115,1207,7184,,4.26,1.8,Export,2021,Qtr 3,September,1
856,OTHER MANUFACTURES GROUP,,LEATHER TANNED,M.T,1860,2654,15792,70.05,27.78,24.77,Export,2021,Qtr 3,September,1
858,OTHER MANUFACTURES GROUP,LEATHER MANUFACTURES,LEATHER GARMENTS,TH.DOZ,120,3950,23504,-10.45,5.67,3.19,Export,2021,Qtr 3,September,1
859,OTHER MANUFACTURES GROUP,LEATHER MANUFACTURES,LEATHER GLOVES,TH.DOZ,1250,3879,23079,18.6,17.96,15.17,Export,2021,Qtr 3,September,1
860,OTHER MANUFACTURES GROUP,LEATHER MANUFACTURES,OTHER LEATHER MANUFACTURES,,,261,1556,,14.66,12.02,Export,2021,Qtr 3,September,1
862,OTHER MANUFACTURES GROUP,FOOTWEAR,LEATHER FOOTWEAR,TH.Pairs,633,1572,9353,-15.18,-20.13,-22.01,Export,2021,Qtr 3,September,1
863,OTHER MANUFACTURES GROUP,FOOTWEAR,CANVAS FOOTWEAR,TH.Pairs,3,3,16,100,100,100,Export,2021,Qtr 3,September,1
864,OTHER MANUFACTURES GROUP,FOOTWEAR,OTHER FOOTWEAR,TH.Pairs,683,400,2380,23.09,47.58,43.98,Export,2021,Qtr 3,September,1
865,OTHER MANUFACTURES GROUP,,SURGICAL GOODS & MEDICAL INSTRUMENTS,,,4956,29488,,-1.59,-3.91,Export,2021,Qtr 3,September,1
866,OTHER MANUFACTURES GROUP,,CUTLERY,,,1523,9060,,0.57,-1.8,Export,2021,Qtr 3,September,1
867,OTHER MANUFACTURES GROUP,,ONYX MANUFACTURED,M.T,130,66,395,-38.15,3.81,2.07,Export,2021,Qtr 3,September,1
869,OTHER MANUFACTURES GROUP,CHEMICALS AND PHARM PRODUCTS,FERTILIZER MANUFACTURED,M.T,0,0,0,0,0,0,Export,2021,Qtr 3,September,1
870,OTHER MANUFACTURES GROUP,CHEMICALS AND PHARM PRODUCTS,PLASTIC MATERIALS,M.T,17071,4534,26979,-15.53,-7.52,-9.7,Export,2021,Qtr 3,September,1
871,OTHER MANUFACTURES GROUP,CHEMICALS AND PHARM PRODUCTS,PHARMACEUTICAL PRODUCTS,M.T,2458,4452,26488,-3.83,19.92,17.09,Export,2021,Qtr 3,September,1
872,OTHER MANUFACTURES GROUP,CHEMICALS AND PHARM PRODUCTS,OTHER CHEMICALS,,,12411,73851,,23.02,20.11,Export,2021,Qtr 3,September,1
874,OTHER MANUFACTURES GROUP,ENGINEERING GOODS,ELECTRIC FANS,TH.NOS,62,212,1259,-43.87,-39.2,-40.56,Export,2021,Qtr 3,September,1
875,OTHER MANUFACTURES GROUP,ENGINEERING GOODS,TRANSPORT EQUIPMENT,,,121,718,,-9.27,-11.14,Export,2021,Qtr 3,September,1
876,OTHER MANUFACTURES GROUP,ENGINEERING GOODS,OTHER ELECTRICAL MACHINERY,,,275,1638,,-43.46,-44.76,Export,2021,Qtr 3,September,1
878,OTHER MANUFACTURES GROUP,ENGINEERING GOODS,MACHINERY SPECIALIZED FOR PARTICULAR INDUSTRIES,,,857,5098,,-0.03,-2.36,Export,2021,Qtr 3,September,1
879,OTHER MANUFACTURES GROUP,ENGINEERING GOODS,AUTO PARTS & ACCESSORIES,,,355,2115,,1.84,-0.66,Export,2021,Qtr 3,September,1
880,OTHER MANUFACTURES GROUP,ENGINEERING GOODS,OTHER MACHINERY,,,730,4344,,-2.66,-5.01,Export,2021,Qtr 3,September,1
881,OTHER MANUFACTURES GROUP,,GEMS,K.G,542,109,647,56.2,64.76,62.16,Export,2021,Qtr 3,September,1
882,OTHER MANUFACTURES GROUP,,JEWELLERY,,,29,174,,-85.48,-85.87,Export,2021,Qtr 3,September,1
883,OTHER MANUFACTURES GROUP,,FURNITURE,,,149,888,,25.45,22.48,Export,2021,Qtr 3,September,1
884,OTHER MANUFACTURES GROUP,,MOLASSES,M.T,33,1,5,-19.51,-15.54,25,Export,2021,Qtr 3,September,1
885,OTHER MANUFACTURES GROUP,,HANDICRAFTS,,,0,0,,0,0,Export,2021,Qtr 3,September,1
886,OTHER MANUFACTURES GROUP,,CEMENT,M.T,1020644,5683,33813,333.94,267.56,258.83,Export,2021,Qtr 3,September,1
887,OTHER MANUFACTURES GROUP,,GUAR AND GUAR PRODUCTS,M.T,2039,453,2693,-2.35,-1.41,-3.68,Export,2021,Qtr 3,September,1
888,OTHER MANUFACTURES GROUP,,ALL OTHER ITEMS,,,34687,206405,,23.15,20.25,Export,2021,Qtr 3,September,1
892,FOOD GROUP,RICE,BASMATI,M.T,86473,15198,82384,45.99,42.76,39,Export,2022,Qtr 2,April,1
893,FOOD GROUP,RICE,OTHERS,M.T,375040,32704,177277,-17.13,-4.91,-7.42,Export,2022,Qtr 2,April,1
894,FOOD GROUP,,FISH & FISH PREPARATIONS,M.T,15442,7438,40318,-4.56,0.27,-2.37,Export,2022,Qtr 2,April,1
895,FOOD GROUP,,FRUITS,M.T,26538,3275,17753,-49.21,-40.62,-42.18,Export,2022,Qtr 2,April,1
896,FOOD GROUP,,VEGETABLES,M.T,141770,7018,38042,13.58,14.85,11.82,Export,2022,Qtr 2,April,1
897,FOOD GROUP,,LEGUMINOUS VEGETABLES (PULSES),M.T,0,0,0,0,0,0,Export,2022,Qtr 2,April,1
898,FOOD GROUP,,TOBACCO,M.T,1998,876,4747,56.71,48.5,44.58,Export,2022,Qtr 2,April,1
899,FOOD GROUP,,WHEAT,M.T,0,0,0,0,0,0,Export,2022,Qtr 2,April,1
900,FOOD GROUP,,SPICES,M.T,2246,1222,6621,3.07,-12.96,-15.26,Export,2022,Qtr 2,April,1
901,FOOD GROUP,,"OIL SEEDS, NUTS AND KERNALS",M.T,5337,1573,8526,-3.07,12.31,9.35,Export,2022,Qtr 2,April,1
902,FOOD GROUP,,SUGAR,M.T,0,0,0,0,0,0,Export,2022,Qtr 2,April,1
903,FOOD GROUP,,MEAT AND MEAT PREPARATIONS,M.T,7716,6567,35597,20.83,25.82,22.5,Export,2022,Qtr 2,April,1
904,FOOD GROUP,,ALL OTHER FOOD ITEMS,,,20788,112681,,7.13,4.31,Export,2022,Qtr 2,April,1
906,TEXTILE GROUP,,RAW COTTON,M.T,0,0,0,0,0,0,Export,2022,Qtr 2,April,1
907,TEXTILE GROUP,,COTTON YARN,M.T,24386,18016,97655,6.94,8.57,5.7,Export,2022,Qtr 2,April,1
908,TEXTILE GROUP,,COTTON CLOTH,M.T,32892,38763,210120,-3.12,2.73,0.02,Export,2022,Qtr 2,April,1
909,TEXTILE GROUP,,COTTON CARDED OR COMBED,M.T,0,0,0,-100,-100,-100,Export,2022,Qtr 2,April,1
910,TEXTILE GROUP,,YARN OTHER THAN COTTON YARN,M.T,1471,1075,5828,-21.21,-5.63,-8.12,Export,2022,Qtr 2,April,1
911,TEXTILE GROUP,,KNITWEAR,TH.DOZ,15552,90096,488377,27.91,18.01,14.89,Export,2022,Qtr 2,April,1
912,TEXTILE GROUP,,BED WEAR,M.T,39628,51398,278606,7.04,9.66,6.77,Export,2022,Qtr 2,April,1
913,TEXTILE GROUP,,TOWELS,M.T,19991,19974,108270,8.1,8.07,5.22,Export,2022,Qtr 2,April,1
914,TEXTILE GROUP,,"TENTS,CANVAS & TARPULIN",M.T,2261,1690,9163,-13.57,-7.16,-9.61,Export,2022,Qtr 2,April,1
915,TEXTILE GROUP,,READYMADE GARMENTS,TH.DOZ,6321,64669,350545,7.74,4.41,1.66,Export,2022,Qtr 2,April,1
916,TEXTILE GROUP,,"ART,SILK & SYNTHETIC TEXTILE",M.T,8021,7693,41700,8.82,14.18,11.17,Export,2022,Qtr 2,April,1
917,TEXTILE GROUP,,MADEUP ARTICLES(EXCL TOWELS & BEDWEAR,,,15277,82810,,20.59,17.41,Export,2022,Qtr 2,April,1
918,TEXTILE GROUP,,OTHER TEXTILE MATERIALS,,,12208,66177,,5.35,2.58,Export,2022,Qtr 2,April,1
920,PETROLEUM GROUP & COAL,,PETROLEUM CRUDE,M.T,45753,7108,38528,-26.14,-12.77,-15.07,Export,2022,Qtr 2,April,1
921,PETROLEUM GROUP & COAL,,PETROLEUM PRODUCTS(EXCL TOP NAPHTA),M.T,6590,1228,6657,112.99,11.09,8.15,Export,2022,Qtr 2,April,1
922,PETROLEUM GROUP & COAL,,PETROLEUM TOP NAPHTA,M.T,0,0,0,0,0,0,Export,2022,Qtr 2,April,1
923,PETROLEUM GROUP & COAL,,SOLID FUELS (COAL),M.T,0,0,0,0,0,0,Export,2022,Qtr 2,April,1
925,OTHER MANUFACTURES GROUP,,"CARPETS, RUGS & MATS",TH.SQM,288,1414,7664,98.62,40.95,37.23,Export,2022,Qtr 2,April,1
927,OTHER MANUFACTURES GROUP,SPORTS GOODS,FOOTBALLS,TH.DOZ,346,3544,19210,-6.99,7.15,4.32,Export,2022,Qtr 2,April,1
928,OTHER MANUFACTURES GROUP,SPORTS GOODS,GLOVES,TH.DOZ,228,1236,6702,-2.98,13.08,10.1,Export,2022,Qtr 2,April,1
929,OTHER MANUFACTURES GROUP,SPORTS GOODS,OTHERS,,,1848,10016,,46.9,43.02,Export,2022,Qtr 2,April,1
930,OTHER MANUFACTURES GROUP,,LEATHER TANNED,M.T,1856,3364,18236,24.06,-7.35,-9.79,Export,2022,Qtr 2,April,1
932,OTHER MANUFACTURES GROUP,LEATHER MANUFACTURES,LEATHER GARMENTS,TH.DOZ,160,4621,25051,37.93,39.04,35.37,Export,2022,Qtr 2,April,1
933,OTHER MANUFACTURES GROUP,LEATHER MANUFACTURES,LEATHER GLOVES,TH.DOZ,809,4519,24495,27.2,16.08,13.02,Export,2022,Qtr 2,April,1
934,OTHER MANUFACTURES GROUP,LEATHER MANUFACTURES,OTHER LEATHER MANUFACTURES,,,368,1996,,52,47.99,Export,2022,Qtr 2,April,1
936,OTHER MANUFACTURES GROUP,FOOTWEAR,LEATHER FOOTWEAR,TH.Pairs,768,1845,10002,7.41,7.42,4.58,Export,2022,Qtr 2,April,1
937,OTHER MANUFACTURES GROUP,FOOTWEAR,CANVAS FOOTWEAR,TH.Pairs,41,49,266,1950,1627.79,1584.82,Export,2022,Qtr 2,April,1
938,OTHER MANUFACTURES GROUP,FOOTWEAR,OTHER FOOTWEAR,TH.Pairs,1110,576,3122,-2.03,-5.29,-7.79,Export,2022,Qtr 2,April,1
939,OTHER MANUFACTURES GROUP,,SURGICAL GOODS & MEDICAL INSTRUMENTS,,,8067,43730,,39.63,35.94,Export,2022,Qtr 2,April,1
940,OTHER MANUFACTURES GROUP,,CUTLERY,,,1033,5598,,0.61,-2.04,Export,2022,Qtr 2,April,1
941,OTHER MANUFACTURES GROUP,,ONYX MANUFACTURED,M.T,215,96,522,102.83,91.77,86.74,Export,2022,Qtr 2,April,1
943,OTHER MANUFACTURES GROUP,CHEMICALS AND PHARM PRODUCTS,FERTILIZER MANUFACTURED,M.T,,0,0,0,0,0,Export,2022,Qtr 2,April,1
944,OTHER MANUFACTURES GROUP,CHEMICALS AND PHARM PRODUCTS,PLASTIC MATERIALS,M.T,19033,6525,35372,-4.8,0.04,-2.6,Export,2022,Qtr 2,April,1
945,OTHER MANUFACTURES GROUP,CHEMICALS AND PHARM PRODUCTS,PHARMACEUTICAL PRODUCTS,M.T,1800,4572,24783,12.78,15.88,12.83,Export,2022,Qtr 2,April,1
946,OTHER MANUFACTURES GROUP,CHEMICALS AND PHARM PRODUCTS,OTHER CHEMICALS,,,17105,92722,,28.33,24.95,Export,2022,Qtr 2,April,1
948,OTHER MANUFACTURES GROUP,ENGINEERING GOODS,ELECTRIC FANS,TH.NOS,210,762,4133,-20.75,-18.28,-20.43,Export,2022,Qtr 2,April,1
949,OTHER MANUFACTURES GROUP,ENGINEERING GOODS,TRANSPORT EQUIPMENT,,,246,1333,,152.32,145.59,Export,2022,Qtr 2,April,1
950,OTHER MANUFACTURES GROUP,ENGINEERING GOODS,OTHER ELECTRICAL MACHINERY,,,872,4726,,91.27,86.23,Export,2022,Qtr 2,April,1
952,OTHER MANUFACTURES GROUP,ENGINEERING GOODS,MACHINERY SPECIALIZED FOR PARTICULAR INDUSTRIES,,,995,5394,,-7.82,-10.25,Export,2022,Qtr 2,April,1
953,OTHER MANUFACTURES GROUP,ENGINEERING GOODS,AUTO PARTS & ACCESSORIES,,,588,3188,,52.6,48.59,Export,2022,Qtr 2,April,1
954,OTHER MANUFACTURES GROUP,ENGINEERING GOODS,OTHER MACHINERY,,,695,3765,,9.72,6.83,Export,2022,Qtr 2,April,1
955,OTHER MANUFACTURES GROUP,,GEMS,K.G,378,88,476,20,48.02,44.07,Export,2022,Qtr 2,April,1
956,OTHER MANUFACTURES GROUP,,JEWELLERY,,,341,1850,,-59.27,-60.34,Export,2022,Qtr 2,April,1
957,OTHER MANUFACTURES GROUP,,FURNITURE,TH.NOS,120,177,958,-2.44,1.83,-0.87,Export,2022,Qtr 2,April,1
958,OTHER MANUFACTURES GROUP,,MOLASSES,M.T,0,0,0,-100,-100,-100,Export,2022,Qtr 2,April,1
959,OTHER MANUFACTURES GROUP,,HANDICRAFTS,,,0,0,,0,0,Export,2022,Qtr 2,April,1
960,OTHER MANUFACTURES GROUP,,CEMENT,M.T,85108,823,4464,-82.22,-76.87,-77.47,Export,2022,Qtr 2,April,1
961,OTHER MANUFACTURES GROUP,,GUAR AND GUAR PRODUCTS,M.T,3169,1130,6128,7.42,6.35,3.55,Export,2022,Qtr 2,April,1
962,OTHER MANUFACTURES GROUP,,ALL OTHER ITEMS,,,41158,223104,,-6.21,-8.68,Export,2022,Qtr 2,April,1
966,FOOD GROUP,RICE,BASMATI,M.T,36645,9179,41556,-18.84,-8.17,-8.77,Export,2022,Qtr 3,August,1
967,FOOD GROUP,RICE,OTHERS,M.T,184094,22569,102174,6.83,10.56,9.83,Export,2022,Qtr 3,August,1
968,FOOD GROUP,,FISH & FISH PREPARATIONS,M.T,7806,4293,19435,-3.13,5.71,5.02,Export,2022,Qtr 3,August,1
969,FOOD GROUP,,FRUITS,M.T,34125,6391,28935,-9.95,-14.57,-15.13,Export,2022,Qtr 3,August,1
970,FOOD GROUP,,VEGETABLES,M.T,48442,3024,13691,-51.34,-68.7,-68.9,Export,2022,Qtr 3,August,1
971,FOOD GROUP,,LEGUMINOUS VEGETABLES (PULSES),M.T,48,10,47,100,100,100,Export,2022,Qtr 3,August,1
972,FOOD GROUP,,TOBACCO,M.T,2532,1189,5381,63.99,11.18,10.45,Export,2022,Qtr 3,August,1
973,FOOD GROUP,,WHEAT,M.T,0,0,0,0,0,0,Export,2022,Qtr 3,August,1
974,FOOD GROUP,,SPICES,M.T,1950,1479,6695,28.12,32.4,31.53,Export,2022,Qtr 3,August,1
975,FOOD GROUP,,"OIL SEEDS, NUTS AND KERNALS",M.T,3736,1286,5824,593.14,429.37,426.11,Export,2022,Qtr 3,August,1
976,FOOD GROUP,,SUGAR,M.T,0,0,0,0,0,0,Export,2022,Qtr 3,August,1
977,FOOD GROUP,,MEAT AND MEAT PREPARATIONS,M.T,6589,8789,39792,10.68,54.28,53.27,Export,2022,Qtr 3,August,1
978,FOOD GROUP,,ALL OTHER FOOD ITEMS,,,22843,103415,,21.27,20.47,Export,2022,Qtr 3,August,1
980,TEXTILE GROUP,,RAW COTTON,M.T,1923,987,4469,322.64,311.28,308.5,Export,2022,Qtr 3,August,1
981,TEXTILE GROUP,,COTTON YARN,M.T,23081,19679,89089,26.9,25.66,24.84,Export,2022,Qtr 3,August,1
982,TEXTILE GROUP,,COTTON CLOTH,M.T,30217,43159,195390,5.22,8.08,7.37,Export,2022,Qtr 3,August,1
983,TEXTILE GROUP,,COTTON CARDED OR COMBED,M.T,45,18,80,100,100,100,Export,2022,Qtr 3,August,1
984,TEXTILE GROUP,,YARN OTHER THAN COTTON YARN,M.T,1274,958,4335,54.99,29.41,28.56,Export,2022,Qtr 3,August,1
985,TEXTILE GROUP,,KNITWEAR,TH.DOZ,18190,99362,449833,9.66,4.11,3.43,Export,2022,Qtr 3,August,1
986,TEXTILE GROUP,,BED WEAR,M.T,36345,57055,258300,-1.92,2.37,1.7,Export,2022,Qtr 3,August,1
987,TEXTILE GROUP,,TOWELS,M.T,13549,16574,75036,-6.07,0.76,0.09,Export,2022,Qtr 3,August,1
988,TEXTILE GROUP,,"TENTS,CANVAS & TARPULIN",M.T,2836,2313,10474,20.58,20.68,19.89,Export,2022,Qtr 3,August,1
989,TEXTILE GROUP,,READYMADE GARMENTS,TH.DOZ,5845,72897,330021,8.87,9.07,8.35,Export,2022,Qtr 3,August,1
990,TEXTILE GROUP,,"ART,SILK & SYNTHETIC TEXTILE",M.T,7479,8763,39671,22.57,27.92,27.09,Export,2022,Qtr 3,August,1
991,TEXTILE GROUP,,MADEUP ARTICLES(EXCL TOWELS & BEDWEAR,,,13355,60461,,11.22,10.49,Export,2022,Qtr 3,August,1
992,TEXTILE GROUP,,OTHER TEXTILE MATERIALS,,,12857,58207,,-2.47,-3.11,Export,2022,Qtr 3,August,1
994,PETROLEUM GROUP & COAL,,PETROLEUM CRUDE,M.T,59830,12056,54580,10778.18,13004.29,12926.25,Export,2022,Qtr 3,August,1
995,PETROLEUM GROUP & COAL,,PETROLEUM PRODUCTS(EXCL TOP NAPHTA),M.T,4626,233,1055,36.18,-69.7,-69.89,Export,2022,Qtr 3,August,1
996,PETROLEUM GROUP & COAL,,PETROLEUM TOP NAPHTA,M.T,0,0,0,0,0,0,Export,2022,Qtr 3,August,1
997,PETROLEUM GROUP & COAL,,SOLID FUELS (COAL),M.T,0,0,0,0,0,0,Export,2022,Qtr 3,August,1
999,OTHER MANUFACTURES GROUP,,"CARPETS, RUGS & MATS",TH.SQM,160,1373,6216,-20,-16.54,-17.08,Export,2022,Qtr 3,August,1
1001,OTHER MANUFACTURES GROUP,SPORTS GOODS,FOOTBALLS,TH.DOZ,362,4452,20156,14.2,28.38,27.54,Export,2022,Qtr 3,August,1
1002,OTHER MANUFACTURES GROUP,SPORTS GOODS,GLOVES,TH.DOZ,265,1340,6065,6,11.83,11.1,Export,2022,Qtr 3,August,1
1003,OTHER MANUFACTURES GROUP,SPORTS GOODS,OTHERS,,,1832,8295,,4.81,4.13,Export,2022,Qtr 3,August,1
1004,OTHER MANUFACTURES GROUP,,LEATHER TANNED,M.T,1217,3498,15838,-18.65,4.84,4.15,Export,2022,Qtr 3,August,1
1006,OTHER MANUFACTURES GROUP,LEATHER MANUFACTURES,LEATHER GARMENTS,TH.DOZ,176,5896,26692,-4.86,1.81,1.14,Export,2022,Qtr 3,August,1
1007,OTHER MANUFACTURES GROUP,LEATHER MANUFACTURES,LEATHER GLOVES,TH.DOZ,809,5667,25655,10.52,14.99,14.24,Export,2022,Qtr 3,August,1
1008,OTHER MANUFACTURES GROUP,LEATHER MANUFACTURES,OTHER LEATHER MANUFACTURES,,,241,1090,,-25.48,-25.95,Export,2022,Qtr 3,August,1
1010,OTHER MANUFACTURES GROUP,FOOTWEAR,LEATHER FOOTWEAR,TH.Pairs,836,3020,13672,-18.76,-3.79,-4.43,Export,2022,Qtr 3,August,1
1011,OTHER MANUFACTURES GROUP,FOOTWEAR,CANVAS FOOTWEAR,TH.Pairs,0,0,0,-100,-100,-100,Export,2022,Qtr 3,August,1
1012,OTHER MANUFACTURES GROUP,FOOTWEAR,OTHER FOOTWEAR,TH.Pairs,1000,418,1892,-19.81,-19.49,-20,Export,2022,Qtr 3,August,1
1013,OTHER MANUFACTURES GROUP,,SURGICAL GOODS & MEDICAL INSTRUMENTS,,,7537,34120,,4.26,3.57,Export,2022,Qtr 3,August,1
